岗位名称,分类,薪资,公司地址,工作经验,学历要求,公司名称,岗位描述
大数据架构师,通信/电信/网络设备,24-42万,成都,5-7年,本科,海能达通信股份有限公司,"大数据平台,hive,hadoop,大数据,五险一金,绩效奖金,定期体检"
大数据开发工程师,计算机软件,18-24万,上海,2年,本科,上海沣海智能科技有限公司,"数据开发,软件,开发,python,java,shell"
大数据开发工程师,计算机软件,9.6-18万,北京,1年,大专,点奇互联（北京）科技有限公司,"java,数据库,spring,mybatis,dubbo,linux,微服务,redis,五险一金"
大数据开发工程师,电子技术/半导体/集成电路,18-30万,惠州,3-4年,本科,深圳市德兰明海新能源股份有限公司,"五险一金,绩效奖金,定期体检,弹性工作,包住宿,带薪年假,免费班车"
大数据平台架构师(009139),银行,24-48万,深圳,3-4年,本科,中信银行信用卡中心,"五险一金,补充医疗保险,员工旅游,餐饮补贴,通讯补贴,年终奖金,绩效奖金"
大数据开发工程师,计算机软件,18-24万,上海,3-4年,本科,上海沣海智能科技有限公司,"数据开发,软件,开发,python,java,shell"
大数据开发工程师,计算机软件,9.6-18万,北京,1年,大专,点奇互联（北京）科技有限公司,"java,数据库,spring,mybatis,dubbo,linux,微服务,redis,五险一金"
大数据开发工程师,电子技术/半导体/集成电路,18-30万,深圳,3-4年,本科,深圳市德兰明海新能源股份有限公司,"五险一金,绩效奖金,定期体检,弹性工作,包住宿,带薪年假,免费班车"
大数据分析工程师,互联网/电子商务,12-21.6万,重庆,3-4年,本科,重庆维普资讯有限公司,"Hadoop,自然语言处理,spark,五险一金,专业培训,绩效奖金,年终奖金"
大数据开发工程师,仪器仪表/工业自动化,26.4-33.6万,深圳,3-4年,本科,深圳拓安信物联股份有限公司,"zookeeper,hdfs,spark,flink,yarn,java,scala,五险一金,年终奖金"
大数据开发工程师,计算机软件,9.6-18万,北京,1年,大专,点奇互联（北京）科技有限公司,"java,数据库,spring,mybatis,dubbo,linux,微服务,redis,五险一金"
大数据算法工程师,计算机软件,14.4-24万,南京,1年,硕士,中兴飞流信息科技有限公司,"大数据,算法,故障诊断,故障检测,建模设计,机器学习算法,数据分析"
BI大数据架构师—上海北京大连,专业服务(咨询、人力资源、财会),30-60万,上海,10年以上,本科,大连凯沃企业管理咨询有限公司,"BI,BAT,机器学习,bi,大数据,hadoop"
大数据开发工程师,计算机软件,12-16.8万,广州,3-4年,大专,广东致盛技术有限公司,"java,mysql,大数据,数据开发,spark,hdfs,hive,python,doris"
大数据开发工程师,计算机软件,9.6-18万,北京,1年,大专,点奇互联（北京）科技有限公司,"java,数据库,spring,mybatis,dubbo,linux,微服务,redis,五险一金"
大数据工程师,计算机软件,24-36万,广州,3-4年,大专,神州数码信息服务股份有限公司,"五险一金,周末双休"
大数据工程师（电商行业）,互联网/电子商务,30-48万,北京,2年,本科,字节跳动,"六险一金,弹性工作,免费三餐,租房补贴,带薪休假,休闲下午茶,扁平管理"
大数据leader,计算机软件,24-30万,南京,5-7年,硕士,南京视察者智能科技有限公司,"大数据,产品规划,五险一金,员工旅游,餐饮补贴,专业培训,绩效奖金"
大数据开发工程师,计算机软件,9.6-18万,北京,1年,大专,点奇互联（北京）科技有限公司,"java,数据库,spring,mybatis,dubbo,linux,微服务,redis,五险一金"
大数据开发工程师,计算机软件,26.4-28.8万,北京,5-7年,大专,北京神州泰岳软件股份有限公司,"计算机,大数据,spark,hbase,大数据分析,数据开发,数据治理,五险一金"
大数据工程师,计算机软件,14.4-19.2万,珠海,5-7年,大专,京北方信息技术股份有限公司珠海分公司,"数仓,hive,Hadoop,五险一金,餐饮补贴,绩效奖金,专业培训"
大数据开发工程师,计算机软件,15.6-26万,广州,5-7年,本科,亚信科技CUC,"五险一金,补充医疗保险,通讯补贴,年终奖金,定期体检,节日福利"
大数据开发工程师,计算机软件,9.6-18万,北京,1年,大专,点奇互联（北京）科技有限公司,"java,数据库,spring,mybatis,dubbo,linux,微服务,redis,五险一金"
大数据算法工程师,通信/电信/网络设备,24-48万,上海,3-4年,本科,上海豪亿信息科技有限公司,"python,PSO算法,遗传算法,Matlab,Java,五险一金,交通补贴,员工旅游"
大数据开发工程师,计算机软件,14.4-28.8万,广州,3-4年,本科,上海辰锐信息科技有限公司,"hadoop,flume,计算机,大数据,kafka,五险一金,专业培训,定期体检"
大数据架构师,计算机软件,300-420万,武汉,5-7年,本科,湖北聚游科技有限公司,"PostgreSQL,Hadoop,Hive,Presto,Spark,五险一金,餐饮补贴"
大数据开发工程师,计算机软件,9.6-18万,北京,1年,大专,点奇互联（北京）科技有限公司,"java,数据库,spring,mybatis,dubbo,linux,微服务,redis,五险一金"
大数据开发工程师,计算机软件,12-24万,贵阳,5-7年,本科,贵州东方世纪科技股份有限公司,"zookeeper,java,hadoop,hbase,spark,大数据平台,五险一金,年终奖金"
大数据平台工程师,计算机软件,19.5-26万,广州,3-4年,本科,广州市品高软件股份有限公司,"linux,hadoop,spark,大数据平台,开源组件,es,flink,kafka,大数据"
大数据平台开发工程师,互联网/电子商务,48-72万,北京,8-9年,本科,字节跳动,"下午茶,健身瑜伽,六险一金,扁平管理,免费三餐,租房补贴"
大数据开发工程师,计算机软件,9.6-18万,北京,1年,大专,点奇互联（北京）科技有限公司,"java,数据库,spring,mybatis,dubbo,linux,微服务,redis,五险一金"
大数据算法开发工程师,新能源,11.2-22.4万,武汉,2年,本科,武汉亿纬储能有限公司,"五险一金,交通补贴,餐饮补贴,专业培训,定期体检,年终奖金"
大数据开发工程师,互联网/电子商务,18-24万,常熟,3-4年,本科,江苏中服焦点跨境贸易服务有限公司,"大数据,大数据开发,hadoop,数据分析,数据挖掘,五险一金,餐饮补贴"
大数据工程师,计算机软件,8.4-16.8万,武汉,2年,大专,武汉三佳医疗信息技术有限公司,"hadoop,数据分析,绩效奖金,专业培训,五险一金,交通补贴,定期体检"
大数据研发工程师,计算机软件,18-36万,上海,3-4年,本科,上海挚飞信息科技有限公司,"大数据,flink,hdfs,json,交通补贴,绩效奖金,定期体检,五险一金"
大数据分析-SQL/Python/Hadoop/Spark,会计/审计,10.4-20.8万,重庆,3-4年,本科,安永华明会计师事务所（特殊普通合伙）上海分所,"hadoop,大数据,数据分析,sql,spark,python,五险一金,专业培训"
AI大数据分析与开发主管,电子技术/半导体/集成电路,19.5-32.5万,重庆,5-7年,本科,重庆万国半导体科技有限公司,"五险一金,免费班车,专业培训,年终奖金,定期体检,绩效奖金,补充商业险"
大数据开发工程师,通信/电信/网络设备,8.4-14.4万,西安,3-4年,硕士,通号通信信息集团有限公司,"云计算,系统架构,通讯补贴,定期体检,餐饮补贴,专业培训,年终奖金"
大数据Hadoop开发工程师,计算机软件,12-21.6万,广州,3-4年,本科,广东德生科技股份有限公司,"hadoop,五险一金,交通补贴,绩效奖金,定期体检"
大数据分析-SQL/Python/Hadoop/Spark,会计/审计,10.4-20.8万,上海,3-4年,本科,安永华明会计师事务所（特殊普通合伙）上海分所,"数据分析,sql,hadoop,spark,大数据,python,五险一金,专业培训"
大数据开发工程师,电子技术/半导体/集成电路,10.8-21.6万,南京,3-4年,本科,南京高华科技股份有限公司,"免费班车,五险一金"
大数据开发工程师,互联网/电子商务,24-36万,上海,3-4年,本科,“前程无忧”51job.com（上海）,"java,hadoop,hive,spark,五险一金,专业培训,补充医疗保险,定期体检"
大数据架构工程师（金融科技部）,金融/投资/证券,24-36万,南京,5-7年,硕士,南京证券股份有限公司,"五险一金,专业培训,定期体检,节日福利,带薪年假,绩效奖金,年终奖金"
大数据分析-SQL/Python/Hadoop/Spark,会计/审计,10.4-20.8万,大连,3-4年,本科,安永华明会计师事务所（特殊普通合伙）上海分所,"sql,大数据,hadoop,数据分析,spark,python,五险一金,专业培训"
大数据开发工程师,通信/电信/网络设备,18-36万,上海,5-7年,本科,上海阅维科技股份有限公司,"大数据,hadoop,大数据开发,spark,五险一金,定期体检,绩效奖金"
大数据分析师,互联网/电子商务,19.5-26万,上海,3-4年,本科,上海易班企业发展有限公司,"数据分析,数据挖掘,数据解决方案,数据决策,监控数据异常,五险一金"
中高级大数据开发工程师,仪器仪表/工业自动化,24-33.6万,深圳,3-4年,本科,深圳拓安信物联股份有限公司,"flink,spark,大数据开发,五险一金,包吃住,年终奖金"
大数据开发工程师,专业服务(咨询、人力资源、财会),9.6-18万,武汉,2年,本科,北天英才（北京）科技有限公司,"团队氛围好,发展空间大,补充医疗保险,五险一金,补充公积金,绩效奖金"
大数据开发工程师,贸易/进出口,18-24万,上海,5-7年,本科,上海创新给水设备制造（集团）有限公司,"五险一金,补充医疗保险,交通补贴,餐饮补贴,通讯补贴,专业培训,出国机会"
大数据分析工程师,建筑/建材/工程,18-30万,北京,5-7年,本科,中国恩菲工程技术有限公司,"大数据,五险一金,补充医疗保险,出国机会,通讯补贴,餐饮补贴,交通补贴"
大数据开发高级工程师,新能源,14.4-18万,常州,3-4年,本科,天合光能股份有限公司,"年终奖金,带薪年假,五险一金,补充医疗保险,免费班车,餐饮补贴,通讯补贴"
大数据分析,计算机软件,14.4-19.2万,上海,3-4年,大专,上海春笛信息科技有限公司,
大数据开发工程师,计算机服务(系统、数据服务、维修),12-20.4万,西安,3-4年,本科,京北方信息技术股份有限公司成都分公司,"hadoop,sql,spark,五险一金,餐饮补贴,绩效奖金,定期体检"
大数据研发工程师-福州,计算机软件,13-26万,福州,2年,本科,中电福富信息科技有限公司,"五险一金,补充医疗保险,员工旅游,餐饮补贴,年终奖金,定期体检,绩效奖金"
大数据开发工程师,计算机软件,18-24万,杭州,2年,本科,杭州威灿科技有限公司,"五险一金,年终奖金,全勤奖,补充医疗保险,专业培训,定期体检,员工旅游"
大数据开发,计算机软件,21.6-24万,上海,5-7年,本科,神州数码信息服务股份有限公司,"spark,hadoop,数据开发,五险一金,定期体检"
大数据工程师,计算机软件,14.4-18万,温州,1年,大专,浙江城安大数据有限公司,"五险一金,年终奖金,绩效奖金,13薪,餐饮补贴,交通补贴,通讯补贴"
大数据开发工程师,计算机软件,10.8-21.6万,广州,8-9年,本科,源恒税务师事务所有限公司,"解决方案,数据仓库,数据收集,架构设计,设计模式,大数据,关系型数据库"
大数据开发工程师,计算机软件,9.6-12万,青岛,无需经验,本科,青岛智力云人工智能科技有限公司,
大数据开发工程师(C),计算机软件,24-26.4万,上海,3-4年,本科,上海择仕信息科技有限公司,"大数据,hadoop,数据挖掘,java,五险一金,专业培训,弹性工作,绩效奖金"
大数据研发架构师-数据平台,互联网/电子商务,42-84万,上海,3-4年,本科,字节跳动,"六险一金,五险一金,免费三餐,弹性工作"
大数据开发,计算机软件,54-10.8万,郑州,无需经验,大专,郑州由申甲网络科技有限公司,"数据分析,java,linux,hadoop,五险一金,补充医疗保险,补充公积金"
大数据开发工程师,计算机软件,24-30万,上海,1年,本科,海隆软件（昆山）有限公司,"五险一金,补充医疗保险,定期体检,员工旅游,餐饮补贴,弹性工作,出国机会"
大数据开发工程师,服装/纺织/皮革,26-52万,佛山,3-4年,本科,广东爱依服商贸有限公司,"年终奖金,提供食宿,节日福利,股票期权"
大数据算法工程师,计算机软件,28-56万,南京,1年,硕士,南京红松信息技术有限公司,"机器学习算法,五险一金,年终奖金,绩效奖金,餐补,交通补,电脑补"
大数据开发工程师,计算机软件,9.6-18万,哈尔滨,无需经验,大专,内蒙古钛驰新迪商务有限公司,"mybatis,dubbo,java,数据库,spring,linux,微服务,redis,web"
大数据开发工程师,网络游戏,18-30万,广州,3-4年,本科,广州天纵网络科技有限公司,"hadoop,数据库,数据分析,五险一金,员工旅游,交通补贴,定期体检"
大数据开发工程师,计算机服务(系统、数据服务、维修),27-54万,上海,3-4年,本科,北京聘多多科技有限公司,"大数据,hadoop,java,大数据开发,spark,数据开发,数据分析,数据处理"
大数据架构师,计算机服务(系统、数据服务、维修),42-56万,成都,10年以上,本科,友邦资讯科技（广州）有限公司成都分公司,"弹性工作,周末双休,地铁周边,五险一金,定期体检,年终奖金,节日福利"
大数据开发工程师,计算机软件,9.6-18万,北京,1年,大专,内蒙古钛驰新迪商务有限公司,"mybatis,dubbo,java,数据库,spring,linux,微服务,redis,web"
大数据开发,通信/电信运营、增值服务,14.4-28.8万,杭州,3-4年,本科,浙江省公众信息产业有限公司,"五险一金,交通补贴,餐饮补贴,通讯补贴,定期体检"
大数据开发工程师,计算机服务(系统、数据服务、维修),27-54万,深圳,3-4年,本科,北京聘多多科技有限公司,"大数据,hadoop,大数据开发,java,spark,数据挖掘,数据分析,开发"
大数据架构师,计算机服务(系统、数据服务、维修),42-56万,成都,10年以上,本科,友邦资讯科技（广州）有限公司成都分公司,"弹性工作,周末双休,地铁周边,五险一金,定期体检,年终奖金,节日福利"
大数据开发工程师,金融/投资/证券,12-18万,成都,3-4年,本科,四川省唯品富邦消费金融有限公司,"hadoop,java,Flink,五险一金,餐饮补贴,专业培训,定期体检,年终奖金"
软件开发工程师-大数据方向,计算机软件,72-10.8万,昆明,1年,本科,云南南天电子信息产业股份有限公司,"周末双休,带薪年假,五险一金,专业培训,绩效奖金,定期体检,年终奖金"
大数据开发工程师,专业服务(咨询、人力资源、财会),32.5-39万,上海,3-4年,本科,上海赢崧企业管理咨询有限公司,"建模,五险一金,餐饮补贴,绩效奖金,交通补贴,年终奖金,弹性工作"
大数据开发（克拉斯特）,计算机软件,18-24万,苏州,2年,本科,苏州得心应手信息技术有限公司,"五险一金,绩效奖金,年终奖金,定期体检,员工旅游"
大数据开发工程师,电子技术/半导体/集成电路,15.4-25.2万,佛山,3-4年,本科,广东艾科智泊科技股份有限公司,"大数据,java,flink,clickhouse,后端语言,spark,bi报表系统,spring"
大数据开发工程师(005996),计算机软件,14.4-21.6万,广州,3-4年,本科,广州南天电脑系统有限公司,"linux,mysql,hive,spark,五险一金,周末双休,带薪年假,员工旅游"
大数据开发,计算机软件,18-30万,广州,3-4年,本科,神州数码信息服务股份有限公司,"sqoop,hive,大数据平台,五险一金,年终奖金,定期体检"
大数据开发负责人,计算机软件,420-540万,南京,5-7年,硕士,南京市康迪普润网络服务有限公司,"五险一金,弹性工作,绩效奖金,年终奖金,专业培训"
大数据架构师,交通/运输/物流,30-36万,天津,8-9年,本科,北京易华录信息技术股份有限公司,"五险一金,餐饮补贴,通讯补贴,定期体检,项目奖金"
大数据开发工程师-流式计算方向,互联网/电子商务,30-54万,北京,无需经验,本科,字节跳动,"下午茶,健身瑜伽,六险一金,五险一金,股票期权,团队氛围好,晋升空间大"
大数据分析工程师,新能源,25.2-35万,苏州,5-7年,本科,江苏阿诗特能源科技股份有限公司,"java,linux,shell,dubbo,大数据平台,数据采集,分布式系统,多线程"
大数据/算法工程师,计算机软件,24-42万,广州,3-4年,硕士,广东精一信息技术有限公司,"五险一金,补充医疗保险,补充公积金,员工旅游,交通补贴,餐饮补贴,通讯补贴"
大数据架构师,交通/运输/物流,30-42万,北京,8-9年,本科,北京易华录信息技术股份有限公司,"五险一金,项目奖金"
大数据开发工程师,计算机软件,24-30万,上海,5-7年,本科,神州数码信息服务股份有限公司,"mongodb,hadoop,es,数仓建模,银行金融,数据开发,五险一金"
大数据算法工程师(TB0001),计算机软件,24-30万,上海,2年,本科,万得信息技术股份有限公司（Wind资讯）,"大数据,开发"
大数据开发工程师,计算机软件,10.4-18.2万,西安,2年,本科,陕西金合信息科技股份有限公司,"绩效奖金,五险一金,补充医疗保险,定期体检,年终奖金,周末双休,加班补贴"
大数据架构师,交通/运输/物流,30-36万,天津,8-9年,本科,北京易华录信息技术股份有限公司,"五险一金,餐饮补贴,通讯补贴,定期体检,项目奖金"
大数据引擎资深专家-EMR/大数据云平台,互联网/电子商务,78-150万,上海,8-9年,本科,字节跳动,"下午茶,健身瑜伽,五险一金,股票期权,团队氛围好,晋升空间大,带薪休假"
大数据工程师,通信/电信/网络设备,60-8.4万,武汉,2年,大专,嘉环科技股份有限公司,"java,python,数据处理,五险一金,通讯补贴,专业培训,绩效奖金"
技术开发（大数据）,快速消费品(食品、饮料、化妆品),19.5-26万,成都,3-4年,本科,华润雪花啤酒,"带薪年假,午餐补助,通讯津贴,交通补助,500强,优秀员工奖,五险一金"
大数据开发工程师,计算机软件,16.8-24万,武汉,5-7年,本科,武汉储慧信息科技有限公司,"hadoop,数据库,数据分析,spark,java,hive,sql,python,五险一金"
大数据开发工程师-电商,互联网/电子商务,36-72万,杭州,3-4年,本科,字节跳动,"下午茶,健身瑜伽,六险一金,股票期权,团队氛围好,晋升空间大,带薪休假"
大数据研发/分析工程师,计算机软件,18-30万,成都,3-4年,本科,招银网络科技（深圳）有限公司成都分公司,"机器学习,数据分析,nlp,scikit_learn,caffe,知识图谱,aiops,scipy"
高级大数据开发工程师,计算机软件,480-840万,深圳,5-7年,本科,深圳中泓在线股份有限公司,"CDH,spark,hadoop,数据中台,大数据,大数据开发,五险一金,员工旅游"
大数据开发工程师,计算机软件,15.6-24万,武汉,5-7年,本科,武汉储慧信息科技有限公司,"hadoop,数据库,数据分析,spark,java,hive,sql,python,五险一金"
大数据开发工程师-电商,互联网/电子商务,36-72万,杭州,3-4年,本科,字节跳动,"下午茶,健身瑜伽,六险一金,股票期权,团队氛围好,晋升空间大,带薪休假"
大数据开发,计算机软件,12-18万,深圳,3-4年,本科,深圳市长亮科技股份有限公司,"五险一金,通讯补贴,定期体检,周末双休"
大数据开发,计算机软件,21.6-27.6万,长沙,3-4年,本科,神州数码信息服务股份有限公司,"五险一金,周末双休"
大数据开发工程师,新能源,22.5-30万,深圳,5-7年,本科,深圳市首航新能源股份有限公司,"大数据平台,监控平台,五险一金,专业培训,员工旅游,年终奖金,节日礼品"
大数据开发工程师,计算机服务(系统、数据服务、维修),14.4-21.6万,广州,5-7年,大专,北京聘多多科技有限公司,"hadoop,大数据,ETL,数据仓库,数据建模,sql,python,航空,电商"
大数据工程师,农/林/牧/渔,18-26.4万,上海,3-4年,硕士,上海兰桂骐技术发展股份有限公司,"hadoop,数据库,数据分析,五险一金,绩效奖金,年终奖金"
大数据工程师,计算机服务(系统、数据服务、维修),19.5-32.5万,杭州,5-7年,本科,汇智智能科技有限公司,"五险一金,员工旅游,年终奖金,绩效奖金,周末双休,公司氛围好,春节超长假期"
高级大数据开发工程师,计算机软件,12-19.2万,昆明,3-4年,本科,云南达速科技有限公司,"大数据,大数据开发,开发工程师,周末双休,通讯补贴,餐饮补贴,交通补贴"
大数据研发经理/主管,房地产,14.4-24万,武汉,3-4年,本科,武汉东湖高新集团股份有限公司,"定期体检,餐饮补贴,绩效奖金,年终奖金,节日福利,五险一金,交通补贴"
大数据开发工程师（22017）,计算机服务(系统、数据服务、维修),9.6-16.8万,广州,3-4年,大专,广东新基建控股集团有限公司,"数据分析,大数据,sql,datax,数据模型,etl,五险一金,年假,节日福利"
大数据工程师,计算机服务(系统、数据服务、维修),19.5-32.5万,杭州,5-7年,本科,汇智智能科技有限公司,"五险一金,员工旅游,年终奖金,绩效奖金,周末双休,公司氛围好,春节超长假期"
大数据开发工程师,计算机软件,14.4-21.6万,深圳,2年,大专,深圳市正信软件有限公司,
总行数据资产管理部-大数据开发工程师岗,银行,nan-nan万,北京,2年,本科,中国光大银行总行,
大数据开发工程师,计算机软件,18-24万,杭州,3-4年,本科,杭州绿掌科技有限公司,"五险一金,带薪年假,节日福利,交通补贴,加班补贴,大小休"
大数据开发实习生,互联网/电子商务,65-9.1万,重庆,1年,大专,贵州玉珏网络技术服务有限责任公司,"java,hadoop,数据库,数据分析,spark,python,sql,hive,五险一金"
大数据研发工程师-基础数仓方向,互联网/电子商务,36-96万,北京,无需经验,本科,字节跳动,"下午茶,健身瑜伽,五险一金,股票期权,团队氛围好,晋升空间大,带薪休假"
大数据开发工程师,计算机软件,18-31.2万,大连,无需经验,本科,米斯特奥福（大连）咨询服务有限公司,"etl,spark,大数据开发,五险一金,补充医疗保险,通讯补贴,出国机会"
大数据开发工程师-无锡,计算机软件,120-240万,无锡,3-4年,本科,苏州广立信息技术有限公司,"大数据开发,数仓架构设计,模型设计,五险一金,通讯补贴,带薪年假"
大数据算法工程师,石油/化工/矿产/地质,12-24万,深圳,2年,本科,清能艾科（深圳）能源技术有限公司,"机器学习,深度学习,python,算法工程师,数据挖掘,预警,xgboost"
大数据开发工程师,计算机软件,18-31.2万,大连,无需经验,本科,米斯特奥福（大连）咨询服务有限公司,"etl,spark,大数据开发,五险一金,补充医疗保险,通讯补贴,出国机会"
大数据及数据科学工程师(001103),多元化业务集团公司,8.4-14.4万,沈阳,3-4年,本科,东软教育科技集团有限公司,"五险一金,补充医疗保险,专业培训,年终奖金,定期体检,周末双休,节日福利"
大数据算法工程师,石油/化工/矿产/地质,12-18万,成都,2年,本科,清能艾科（深圳）能源技术有限公司,"机器学习,深度学习,python,算法工程师,数据挖掘,预警,xgboost"
OLAP数据库资深专家-EMR/大数据云平台,互联网/电子商务,78-150万,北京,8-9年,本科,字节跳动,"下午茶,健身瑜伽,五险一金,股票期权,团队氛围好,晋升空间大,带薪休假"
大数据开发工程师,计算机软件,18-31.2万,大连,无需经验,本科,米斯特奥福（大连）咨询服务有限公司,"etl,spark,大数据开发,五险一金,补充医疗保险,通讯补贴,出国机会"
大数据开发工程师2,交通/运输/物流,19.5-39万,苏州,5-7年,本科,苏州智能交通信息科技股份有限公司,"kafka,hive,spark,hadoop,redis,大数据,五险一金,餐饮补贴"
高级大数据算法工程师,石油/化工/矿产/地质,18-30万,深圳,5-7年,本科,清能艾科（深圳）能源技术有限公司,"机器学习,深度学习,python,算法工程师,数据挖掘,xgboost,预警"
大数据技术专家,互联网/电子商务,42-56万,上海,8-9年,本科,百联全渠道电子商务有限公司,"五险一金,交通补贴,餐饮补贴,专业培训,定期体检,年终奖金,绩效奖金"
大数据开发工程师(J10162),计算机软件,21-35万,深圳,3-4年,本科,深圳嘉立创科技集团股份有限公司,"bi,java,etl,scala,五险一金,节日福利,定期体检,餐饮补贴,交通补贴"
大数据平台开发工程师,计算机软件,13-26万,西安,3-4年,本科,苏州海加网络科技股份有限公司,"五险一金,餐饮补贴,年终奖金,定期体检"
高级大数据算法工程师,石油/化工/矿产/地质,18-24万,成都,5-7年,本科,清能艾科（深圳）能源技术有限公司,"机器学习,深度学习,python,算法工程师,数据挖掘,xgboost,预警"
大数据开发工程师,计算机软件,14.4-19.2万,上海,3-4年,本科,上海威士顿信息技术股份有限公司,"etl,sqlserver,python,金融,报表开发,oracle,五险一金,专业培训"
大数据架构师,新能源,24-36万,上海,3-4年,本科,上海融和骏玖新能源科技有限公司,"数据库,hadoop,数据分析,spark,python,sql,hive,java,五险一金"
大数据工程师/架构师,计算机软件,42-70万,北京,5-7年,本科,潍坊赢启信息科技有限公司,
大数据开发(离线),计算机服务(系统、数据服务、维修),32.5-42.9万,上海,8-9年,本科,高知特信息技术（上海）有限公司 Cognizant Technology Solutions,"离线数仓,Spark,Hive,Python,阿里云,12天年假,补充医疗保险"
大数据算法开发工程师,新能源,11.2-21万,武汉,2年,本科,武汉亿纬储能有限公司,"算法建模,数据治理,大数据,数据挖掘,五险一金,交通补贴,餐饮补贴"
大数据开发工程师,计算机服务(系统、数据服务、维修),10.4-18.2万,青岛,1年,大专,青岛市李沧区智云科技培训学校有限公司,"大数据,数据挖掘,五险一金,绩效奖金,周末双休"
大数据平台开发岗(009158),银行,24-48万,深圳,3-4年,本科,中信银行信用卡中心,"五险一金,补充医疗保险,员工旅游,餐饮补贴,通讯补贴,年终奖金,绩效奖金"
Spark SQL 开源大数据系统架构师/负责人,互联网/电子商务,66-102万,上海,5-7年,本科,字节跳动,"下午茶,健身瑜伽,五险一金,股票期权,团队氛围好,晋升空间大,带薪休假"
高级大数据开发工程师,计算机服务(系统、数据服务、维修),23.4-39万,武汉,5-7年,本科,君润优活科技（深圳）有限公司,"数据建模,算法,五险一金,绩效奖金,餐饮补贴,周末双休,节日福利"
大数据分析师（接受应届）,快速消费品(食品、饮料、化妆品),9.6-14.4万,阳泉,1年,大专,深圳市白牛贸易有限公司,"数据分析师,五险一金,绩效奖金,全勤奖"
大数据分析工程师,建筑/建材/工程,240-300万,南京,5-7年,本科,南京市测绘勘察研究院股份有限公司,"五险一金,餐饮补贴,交通补贴,年终奖金,定期体检"
大数据架构师-电商,互联网/电子商务,48-84万,杭州,5-7年,本科,字节跳动,"下午茶,健身瑜伽,六险一金,五险一金,股票期权,团队氛围好,晋升空间大"
大数据工程师,电子技术/半导体/集成电路,12-18万,黄石,1年,本科,黄石沪士电子有限公司,"五险一金,餐饮补贴,绩效奖金,年终奖金,定期体检,周末双休"
大数据分析师（接受应届）,快速消费品(食品、饮料、化妆品),9.6-14.4万,忻州,1年,大专,深圳市白牛贸易有限公司,"数据分析师,五险一金,绩效奖金,全勤奖"
大数据分析工程师,计算机软件,16.9-20.8万,北京,3-4年,本科,亚信科技CUC,"五险一金,专业培训,年终奖金"
资深后端工程师-大数据应用方向,互联网/电子商务,36-66万,上海,无需经验,本科,字节跳动,"下午茶,六险一金,扁平管理,免费三餐,弹性工作"
大数据开发工程师（中山机会）,计算机软件,24-26.4万,深圳,5-7年,大专,深圳建广数字科技有限公司青岛分公司,"高德地图,kafka,vue,hive,arcgis,数据中台,flink,数据平台,天地图"
大数据分析师（接受应届）,快速消费品(食品、饮料、化妆品),9.6-14.4万,运城,1年,大专,深圳市白牛贸易有限公司,"数据分析师,五险一金,绩效奖金,全勤奖"
大数据架构岗,金融/投资/证券,21-42万,上海,5-7年,本科,华宝证券股份有限公司,"做五休二,带薪年假,绩效奖金,交通补贴,通讯补贴,五险一金,专业培训"
大数据平台高级工程师 — 平台产品方向,互联网/电子商务,24-48万,北京,2年,本科,字节跳动,"弹性工作,免费三餐,租房补贴,下午茶,扁平管理"
大数据开发,计算机软件,7.8-15.6万,青岛,无需经验,大专,青岛诺宸尚迅信息技术有限公司,"数据开发,数据调试,数据初始化,sql脚本优化,异常数据排查,数据库维护"
大数据分析师（接受应届）,快速消费品(食品、饮料、化妆品),9.6-14.4万,天津,1年,大专,深圳市白牛贸易有限公司,"数据分析师,五险一金,绩效奖金,全勤奖"
数据科学与大数据技术教师,教育/培训/院校,7.8-15.6万,武汉,1年,硕士,武昌工学院,"老师,教师,助教,讲师,数据,分析,科学,大数据,五险一金"
中级大数据开发工程师,计算机软件,16.8-19.2万,珠海,3-4年,本科,京北方信息技术股份有限公司珠海分公司,"java,mysql,oracle,linux,数据库设计,hive,hadoop,spark,数据"
大数据开发,计算机软件,7.8-15.6万,青岛,无需经验,大专,青岛诺宸尚迅信息技术有限公司,"计算机,数据开发,数据调试,sql脚本优化,数据初始化,计算机软件"
大数据分析师（接受应届）,快速消费品(食品、饮料、化妆品),9.6-14.4万,天津,1年,大专,深圳市白牛贸易有限公司,"数据分析师,五险一金,绩效奖金,全勤奖"
大数据开发工程师,计算机软件,18-30万,深圳,3-4年,本科,深圳中泓在线股份有限公司,"java,CDH,spark,hadoop,五险一金,员工旅游,专业培训,绩效奖金"
中级大数据开发工程师,计算机软件,16.8-19.2万,珠海,3-4年,本科,京北方信息技术股份有限公司珠海分公司,"java,mysql,oracle,linux,数据库设计,hive,hadoop,spark,数据"
大数据架构师(J11296),医疗/护理/卫生,30-36万,武汉,3-4年,本科,湖北咿呀医疗投资管理有限公司,"mysql,hadoop,hive,spark,数据管理,hbase,大数据平台,医疗"
大数据分析师（接受应届）,快速消费品(食品、饮料、化妆品),9.6-14.4万,吕梁,1年,大专,深圳市白牛贸易有限公司,"数据分析师,五险一金,绩效奖金,全勤奖"
大数据架构师-电商,互联网/电子商务,24-48万,上海,无需经验,本科,字节跳动,"下午茶,健身瑜伽,六险一金,五险一金,股票期权,团队氛围好,晋升空间大"
中级大数据开发工程师,计算机软件,16.8-19.2万,珠海,3-4年,本科,京北方信息技术股份有限公司珠海分公司,"java,mysql,oracle,linux,数据库设计,hive,hadoop,spark,数据"
