岗位名称,分类,薪资,公司地址,工作经验,学历要求,公司名称,岗位描述
大数据分析工程师,计算机软件,13-26万,上海,1年,本科,利宏科技（上海）有限公司,"sql,数据库,hadoop,hive,MySQL,五险一金,年终奖金,定期体检"
大数据开发工程师（无需经验）,计算机软件,6-12万,武汉,无需经验,本科,武汉大工尹科技发展有限公司,"hadoop,数据库,数据分析,spark,hive,sql,python,java,BI"
大数据开发架构师,多元化业务集团公司,52-71.5万,上海,5-7年,本科,上海倍通医药科技咨询有限公司,五险一金
大数据治理,制药/生物工程,13-18.2万,成都,2年,本科,海思科医药集团股份有限公司,"sql,数据标准,数据库,主数据维护,MDM,制造业,五险一金,年终奖金"
大数据分析,多元化业务集团公司,56-8.4万,重庆,3-4年,本科,重庆华侨城实业发展有限公司欢乐谷旅游分公司,"数据分析,五险一金,绩效奖金,年终奖金,餐饮补贴,定期体检,提供食宿"
大数据技术人员,建筑/建材/工程,7.2-14.4万,广州,2年,大专,广东金合成建材实业有限公司,"大数据平台,大数据框架,大数据技术,专业培训,带薪年假,弹性工作,节日福利"
高级大数据开发工程师（Spark）,计算机软件,21-28万,上海,8-9年,硕士,每锐软件（上海）有限公司,"大数据开发,spark,scala,补充公积金,定期体检,弹性工作,餐饮补贴"
大数据开发,计算机服务(系统、数据服务、维修),9.6-12万,广州,3-4年,本科,广州四必得科技有限公司,
大数据开发工程师,计算机软件,28-44.8万,广州,5-7年,本科,重庆新科佳都科技有限公司,"五险一金,餐饮补贴,通讯补贴"
大数据分析师,计算机软件,9.6-12万,深圳,3-4年,本科,深圳市同创联科信息工程有限公司,"五险一金,专业培训,年终奖金"
大数据架构师,互联网/电子商务,36-54万,深圳,5-7年,本科,深圳鼎然信息科技有限公司,"车险,数据建模,数据模型,数据结构,新能源汽车,大数据架构,数据算法"
大数据运维工程师,互联网/电子商务,8.4-12万,西安,3-4年,大专,陕西玖耀启铭科技有限公司,"计算机,sql,hbase,flink,五险一金,补充医疗保险,补充公积金,专业培训"
大数据开发主管,计算机软件,14.4-18万,武汉,5-7年,本科,上海澳马信息技术服务有限公司,"大数据开发,餐饮补贴,绩效奖金,定期体检,五险一金,年终奖金"
大数据开发工程师,批发/零售,30-42万,上海,3-4年,硕士,洽洽快乐有限公司,"架构设计,五险一金,补充医疗保险,补充公积金"
大数据产品经理,金融/投资/证券,7.2-14.4万,杭州,无需经验,本科,银联商务股份有限公司浙江分公司,"大数据,产品,五险一金,周末双休,年终奖金,餐饮补贴,定期体检"
大数据讲师,教育/培训/院校,9.6-19.2万,沈阳,2年,本科,山东中航控股集团有限公司,
证券大数据分析,计算机软件,15-30万,南京,无需经验,硕士,江苏斑驹科技有限公司,"量化,数据分析,算法,数据建模,大数据,Matlab,金融,证券,股票"
Java架构师（有大数据经验）,计算机软件,25.2-30万,深圳,5-7年,本科,神州数码信息服务股份有限公司,"高并发,架构师,java,计算机,SQL,微服务,mysql,linux,hadoop"
2023/005/01-研究科学家（政企大数据实验室）,学术/科研,48-84万,深圳,2年,博士,深圳市大数据研究院,"五险一金,定期体检,免费班车"
大数据运维工程师,计算机软件,12-18万,上海,3-4年,大专,苏州维莱科软件有限公司,"运维工程师,五险一金,绩效奖金,年终奖金,弹性工作"
大数据实习生/五险一金,计算机软件,72-10.8万,广州,无需经验,本科,广州博锐信息技术有限公司,"数据库,python,BI,五险一金,员工旅游,专业培训,交通补贴,餐饮补贴"
大数据项目经理,计算机软件,18-24万,南京,3-4年,本科,中兴飞流信息科技有限公司,"大数据,技术方案,方案设计,项目经理,hadoop,五险一金,免费班车"
产品经理（金融或财务大数据分析方向）,计算机软件,71.5-14.3万,金华,无需经验,本科,浙江思睿智训科技有限公司,"产品经理,产品,运维,数据分析,统计,培训,五险一金,员工旅游"
2023/009/01-WiFi开发工程师（信息系统大数据实验室）,学术/科研,14.4-28.8万,深圳,1年,硕士,深圳市大数据研究院,"五险一金,定期体检,免费班车"
大数据测试工程师（征信公司）,金融/投资/证券,15-24万,南昌,3-4年,本科,江西联合股权交易中心股份有限公司,"java,shell,测试,五险一金,补充医疗保险,通讯补贴,交通补贴,定期体检"
Java开发（大数据方向）,计算机软件,13-19.5万,广州,3-4年,本科,广东众天信息科技有限公司,"大数据,数据可视化,数据中台,springcloud,交通补贴,弹性工作,年终奖金"
MI工业大数据应用顾问,计算机软件,15.6-30万,武汉,5-7年,本科,广州赛意信息科技股份有限公司,"生产管理,供应链,可视化大屏,数据治理,数字化转型,数字孪生,集控中心"
2023/008/01-能源方向科学家（信息系统大数据实验室）,学术/科研,48-84万,深圳,1年,博士,深圳市大数据研究院,"五险一金,定期体检,免费班车"
大数据研发工程师,石油/化工/矿产/地质,18-22.8万,上海,3-4年,硕士,上海达坦能源科技股份有限公司,"五险一金,餐饮补贴,年终奖金,定期体检"
