岗位名称,分类,薪资,公司地址,工作经验,学历要求,公司名称,岗位描述
大数据开发工程师,汽车,6-9千,柳州,3-4年,本科,柳州沪信汽车科技有限公司,"'五险一金\n年终奖金\n定期体检\n专业培训\n每周双休\n节日福利品\n法定节假日',"
大数据分析工程师,计算机软件,1-1.6万·13薪,南京·雨花台区,3-4年,本科,三星电子（中国）研发中心,"'数据分析\n项目管理\n数据清洗\n分布式计算\n弹性工作\n餐饮补贴',"
大数据模型算法工程师,计算机软件,1-2万,上海,2年,本科,上海经达信息科技股份有限公司,"'大数据算法\n大数据建模\n数据挖掘\n机器学习\n五险一金\n餐饮补贴\n周末双休',"
大数据架构师,汽车,2-3万,重庆,5-7年,本科,重庆天人汽车车身制造有限公司,"'java\n数据中台\n数据建模\nflink\n五险一金\n工作餐\n节日福利\n周末双休',"
大数据分析工程师,政府/公共事业,1.5-2.5万,上海·普陀区,5-7年,硕士,上海市联合征信有限公司,"'五险一金\n补充医疗保险\n补充公积金\n交通补贴\n通讯补贴\n餐饮补贴\n绩效奖金',"
大数据分析工程师,计算机软件,1-2万·13薪,上海·浦东新区,1年,本科,利宏科技（上海）有限公司,"'sql\n数据库\nhadoop\nhive\nMySQL\n五险一金\n年终奖金\n定期体检',"
大数据开发工程师（无需经验）,计算机软件,5千-1万,武汉,无需经验,本科,武汉大工尹科技发展有限公司,'hadoop\n数据库\n数据分析\nspark\nhive\nsql\npython\njava\nBI']
大数据开发架构师,多元化业务集团公司,4-5.5万·13薪,上海·黄浦区,5-7年,本科,上海倍通医药科技咨询有限公司,"['五险一金',"
大数据治理,制药/生物工程,1-1.4万·13薪,成都·温江区,2年,本科,海思科医药集团股份有限公司,"'sql\n数据标准\n数据库\n主数据维护\nMDM\n制造业\n五险一金\n年终奖金',"
大数据分析,多元化业务集团公司,4-6千·14薪,重庆·渝北区,3-4年,本科,重庆华侨城实业发展有限公司欢乐谷旅游分公司,"'数据分析\n五险一金\n绩效奖金\n年终奖金\n餐饮补贴\n定期体检\n提供食宿',"
大数据技术人员,建筑/建材/工程,6千-1.2万,广州·番禺区,2年,大专,广东金合成建材实业有限公司,"'大数据平台\n大数据框架\n大数据技术\n专业培训\n带薪年假\n弹性工作\n节日福利',"
高级大数据开发工程师（Spark）,计算机软件,1.5-2万·14薪,上海,8-9年,硕士,每锐软件（上海）有限公司,"'大数据开发\nspark\nscala\n补充公积金\n定期体检\n弹性工作\n餐饮补贴',"
