岗位名称,分类,薪资,公司地址,工作经验,学历要求,公司名称,岗位描述
大数据分析师,计算机软件,6千-1万·13薪,大连·中山区,1年,本科,辽宁卓信普惠征信服务有限公司,"'征信\n数据库\n数据分析\n金融\n数字科技\n信贷\n五险一金\n通讯补贴',"
大数据开发工程师,计算机软件,8千-1.5万,北京·海淀区,1年,大专,点奇互联（北京）科技有限公司,"'java\n数据库\nspring\nmybatis\ndubbo\nlinux\n微服务\nredis\n五险一金',"
大数据开发工程师,机械/设备/重工,1-1.7万,广州,3-4年,大专,广州标际包装设备有限公司,"'周末双休\n带薪年假\n五险一金\n全勤奖\n交通补贴\n餐饮补贴\n通讯补贴',"
大数据开发工程师,计算机软件,7千-1.3万,襄阳,3-4年,本科,湖北宽云网络科技有限公司,"'hadoop\n大数据开发\n数据挖掘\n开发\nspark\n五险一金\n员工旅游',"
大数据架构师,计算机软件,2-3万,深圳·福田区,8-9年,本科,归一互生集团有限公司,"'计算机\nhadoop\nhive\netl\nhbase\n机器学习\n数据挖掘\n系统架构设计',"
大数据开发工程师,计算机软件,8千-1.5万,北京·海淀区,1年,大专,点奇互联（北京）科技有限公司,"'java\n数据库\nspring\nmybatis\ndubbo\nlinux\n微服务\nredis\n五险一金',"
大数据开发工程师,计算机软件,1.6-3.2万·13薪,深圳,3-4年,本科,北京鼎腾科技有限公司,"'大数据\n数据开发\n数据治理\n数据挖掘\n数据仓库\n数据架构\n数据处理',"
大数据开发工程师,建筑/建材/工程,3-4万·13薪,深圳·南山区,5-7年,本科,朗奥科技,"'大数据\nlinux\n数据仓库\n数据挖掘\nhadoop\n大数据平台\n五险一金',"
大数据开发工程师,电子技术/半导体/集成电路,22-35万/年,杭州·余杭区,2年,本科,杭州广立微电子股份有限公司,"'大数据\n大数据开发\n开发\n五险一金\n员工旅游\n餐饮补贴\n通讯补贴',"
大数据开发工程师,计算机软件,8千-1.5万,北京·海淀区,1年,大专,点奇互联（北京）科技有限公司,"'java\n数据库\nspring\nmybatis\ndubbo\nlinux\n微服务\nredis\n五险一金',"
大数据开发工程师,计算机软件,1.6-3.2万,西安,3-4年,本科,北京鼎腾科技有限公司,"'大数据\n数据开发\n数据治理\n数据挖掘\n数据仓库\n数据架构\n数据处理',"
大数据开发工程师,计算机软件,1.2-1.6万·13薪,宜昌·西陵区,3-4年,本科,广州健新科技有限责任公司,"'大数据\n数据仓库\nspark\njava\n数据报表\nsql\n数据结构\n设计模式',"
大数据开发工程师,计算机软件,1.5-2万,上海·黄浦区,3-4年,本科,上海沣海智能科技有限公司,"'数据开发\n软件\n开发\npython\njava\nshell',"
大数据开发工程师,计算机软件,8千-1.5万,北京·海淀区,1年,大专,点奇互联（北京）科技有限公司,"'java\n数据库\nspring\nmybatis\ndubbo\nlinux\n微服务\nredis\n五险一金',"
大数据开发工程师,计算机软件,1.6-3.2万,武汉,3-4年,本科,北京鼎腾科技有限公司,"'大数据\n数据开发\n数据治理\n数据挖掘\n数据仓库\n数据架构\n数据处理',"
大数据开发岗(009160),银行,2-4万,深圳·福田区,3-4年,本科,中信银行信用卡中心,"'五险一金\n补充医疗保险\n员工旅游\n餐饮补贴\n通讯补贴\n年终奖金\n绩效奖金',"
大数据开发工程师,计算机软件,1.5-2万,上海·闵行区,2年,本科,上海沣海智能科技有限公司,'数据开发\n软件\n开发\npython\njava\nshell']
大数据开发工程师,计算机软件,8千-1.5万,北京·海淀区,1年,大专,点奇互联（北京）科技有限公司,"['java\n数据库\nspring\nmybatis\ndubbo\nlinux\n微服务\nredis\n五险一金',"
大数据开发工程师,计算机服务(系统、数据服务、维修),2-3万·13薪,上海·虹口区,3-4年,本科,元初数智科技发展集团有限公司,"'大数据\nhive\n数据仓库\n做五休二\n周末双休\n高温补贴\n五险一金',"
大数据架构师,通信/电信/网络设备,2-3.5万,成都·青羊区,5-7年,本科,海能达通信股份有限公司,"'大数据平台\nhive\nhadoop\n大数据\n五险一金\n绩效奖金\n定期体检',"
大数据开发工程师,计算机软件,1.5-2万,上海·浦东新区,2年,本科,上海沣海智能科技有限公司,"'数据开发\n软件\n开发\npython\njava\nshell',"
大数据开发工程师,计算机软件,8千-1.5万,北京·海淀区,1年,大专,点奇互联（北京）科技有限公司,"'java\n数据库\nspring\nmybatis\ndubbo\nlinux\n微服务\nredis\n五险一金',"
大数据开发工程师,电子技术/半导体/集成电路,1.5-2.5万,惠州,3-4年,本科,深圳市德兰明海新能源股份有限公司,"'五险一金\n绩效奖金\n定期体检\n弹性工作\n包住宿\n带薪年假\n免费班车',"
大数据平台架构师(009139),银行,2-4万,深圳·福田区,3-4年,本科,中信银行信用卡中心,"'五险一金\n补充医疗保险\n员工旅游\n餐饮补贴\n通讯补贴\n年终奖金\n绩效奖金',"
大数据开发工程师,计算机软件,1.5-2万,上海·长宁区,3-4年,本科,上海沣海智能科技有限公司,"'数据开发\n软件\n开发\npython\njava\nshell',"
大数据开发工程师,计算机软件,8千-1.5万,北京·海淀区,1年,大专,点奇互联（北京）科技有限公司,"'java\n数据库\nspring\nmybatis\ndubbo\nlinux\n微服务\nredis\n五险一金',"
大数据开发工程师,电子技术/半导体/集成电路,1.5-2.5万,深圳·坪山区,3-4年,本科,深圳市德兰明海新能源股份有限公司,"'五险一金\n绩效奖金\n定期体检\n弹性工作\n包住宿\n带薪年假\n免费班车',"
大数据分析工程师,互联网/电子商务,1-1.8万,重庆·渝北区,3-4年,本科,重庆维普资讯有限公司,"'Hadoop\n自然语言处理\nspark\n五险一金\n专业培训\n绩效奖金\n年终奖金',"
大数据开发工程师,仪器仪表/工业自动化,2.2-2.8万,深圳·南山区,3-4年,本科,深圳拓安信物联股份有限公司,"'zookeeper\nhdfs\nspark\nflink\nyarn\njava\nscala\n五险一金\n年终奖金',"
大数据开发工程师,计算机软件,8千-1.5万,北京·海淀区,1年,大专,点奇互联（北京）科技有限公司,"'java\n数据库\nspring\nmybatis\ndubbo\nlinux\n微服务\nredis\n五险一金',"
大数据算法工程师,计算机软件,1.2-2万,南京·雨花台区,1年,硕士,中兴飞流信息科技有限公司,"'大数据\n算法\n故障诊断\n故障检测\n建模设计\n机器学习算法\n数据分析',"
BI大数据架构师—上海北京大连,专业服务(咨询、人力资源、财会),2.5-5万,上海·黄浦区,10年以上,本科,大连凯沃企业管理咨询有限公司,"'BI\nBAT\n机器学习\nbi\n大数据\nhadoop',"
大数据开发工程师,计算机软件,1-1.4万,广州·黄埔区,3-4年,大专,广东致盛技术有限公司,"'java\nmysql\n大数据\n数据开发\nspark\nhdfs\nhive\npython\ndoris',"
大数据开发工程师,计算机软件,8千-1.5万,北京·海淀区,1年,大专,点奇互联（北京）科技有限公司,"'java\n数据库\nspring\nmybatis\ndubbo\nlinux\n微服务\nredis\n五险一金',"
大数据工程师,计算机软件,2-3万,广州·黄埔区,3-4年,大专,神州数码信息服务股份有限公司,"'五险一金\n周末双休',"
大数据工程师（电商行业）,互联网/电子商务,2.5-4万,北京,2年,本科,字节跳动,"'六险一金\n弹性工作\n免费三餐\n租房补贴\n带薪休假\n休闲下午茶\n扁平管理',"
大数据leader,计算机软件,2-2.5万,南京·秦淮区,5-7年,硕士,南京视察者智能科技有限公司,'大数据\n产品规划\n五险一金\n员工旅游\n餐饮补贴\n专业培训\n绩效奖金']
大数据开发工程师,计算机软件,8千-1.5万,北京·海淀区,1年,大专,点奇互联（北京）科技有限公司,"['java\n数据库\nspring\nmybatis\ndubbo\nlinux\n微服务\nredis\n五险一金',"
大数据开发工程师,计算机软件,2.2-2.4万,北京·昌平区,5-7年,大专,北京神州泰岳软件股份有限公司,"'计算机\n大数据\nspark\nhbase\n大数据分析\n数据开发\n数据治理\n五险一金',"
大数据工程师,计算机软件,1.2-1.6万,珠海·香洲区,5-7年,大专,京北方信息技术股份有限公司珠海分公司,"'数仓\nhive\nHadoop\n五险一金\n餐饮补贴\n绩效奖金\n专业培训',"
大数据开发工程师,计算机软件,1.2-2万·13薪,广州·天河区,5-7年,本科,亚信科技CUC,"'五险一金\n补充医疗保险\n通讯补贴\n年终奖金\n定期体检\n节日福利',"
大数据开发工程师,计算机软件,8千-1.5万,北京·海淀区,1年,大专,点奇互联（北京）科技有限公司,"'java\n数据库\nspring\nmybatis\ndubbo\nlinux\n微服务\nredis\n五险一金',"
大数据算法工程师,通信/电信/网络设备,2-4万,上海·虹口区,3-4年,本科,上海豪亿信息科技有限公司,"'python\nPSO算法\n遗传算法\nMatlab\nJava\n五险一金\n交通补贴\n员工旅游',"
大数据开发工程师,计算机软件,1.2-2.4万,广州·越秀区,3-4年,本科,上海辰锐信息科技有限公司,"'hadoop\nflume\n计算机\n大数据\nkafka\n五险一金\n专业培训\n定期体检',"
大数据架构师,计算机软件,25-35万/年,武汉·武昌区,5-7年,本科,湖北聚游科技有限公司,"'PostgreSQL\nHadoop\nHive\nPresto\nSpark\n五险一金\n餐饮补贴',"
大数据开发工程师,计算机软件,8千-1.5万,北京·海淀区,1年,大专,点奇互联（北京）科技有限公司,"'java\n数据库\nspring\nmybatis\ndubbo\nlinux\n微服务\nredis\n五险一金',"
大数据开发工程师,计算机软件,1-2万,贵阳,5-7年,本科,贵州东方世纪科技股份有限公司,"'zookeeper\njava\nhadoop\nhbase\nspark\n大数据平台\n五险一金\n年终奖金',"
大数据平台工程师,计算机软件,1.5-2万·13薪,广州·天河区,3-4年,本科,广州市品高软件股份有限公司,"'linux\nhadoop\nspark\n大数据平台\n开源组件\nes\nflink\nkafka\n大数据',"
大数据平台开发工程师,互联网/电子商务,4-6万,北京,8-9年,本科,字节跳动,"'下午茶\n健身瑜伽\n六险一金\n扁平管理\n免费三餐\n租房补贴',"
大数据开发工程师,计算机软件,8千-1.5万,北京·海淀区,1年,大专,点奇互联（北京）科技有限公司,"'java\n数据库\nspring\nmybatis\ndubbo\nlinux\n微服务\nredis\n五险一金',"
大数据算法开发工程师,新能源,8千-1.6万·14薪,武汉·东湖新技术产业开发区,2年,本科,武汉亿纬储能有限公司,"'五险一金\n交通补贴\n餐饮补贴\n专业培训\n定期体检\n年终奖金',"
大数据开发工程师,互联网/电子商务,1.5-2万,常熟,3-4年,本科,江苏中服焦点跨境贸易服务有限公司,"'大数据\n大数据开发\nhadoop\n数据分析\n数据挖掘\n五险一金\n餐饮补贴',"
大数据工程师,计算机软件,6千-1.2万·14薪,武汉·洪山区,2年,大专,武汉三佳医疗信息技术有限公司,"'hadoop\n数据分析\n绩效奖金\n专业培训\n五险一金\n交通补贴\n定期体检',"
大数据研发工程师,计算机软件,1.5-3万,上海·浦东新区,3-4年,本科,上海挚飞信息科技有限公司,"'大数据\nflink\nhdfs\njson\n交通补贴\n绩效奖金\n定期体检\n五险一金',"
大数据分析-SQL/Python/Hadoop/Spark,会计/审计,8千-1.6万·13薪,重庆,3-4年,本科,安永华明会计师事务所（特殊普通合伙）上海分所,"'hadoop\n大数据\n数据分析\nsql\nspark\npython\n五险一金\n专业培训',"
AI大数据分析与开发主管,电子技术/半导体/集成电路,1.5-2.5万·13薪,重庆,5-7年,本科,重庆万国半导体科技有限公司,"'五险一金\n免费班车\n专业培训\n年终奖金\n定期体检\n绩效奖金\n补充商业险',"
大数据开发工程师,通信/电信/网络设备,7千-1.2万,西安·长安区,3-4年,硕士,通号通信信息集团有限公司,'云计算\n系统架构\n通讯补贴\n定期体检\n餐饮补贴\n专业培训\n年终奖金']
大数据Hadoop开发工程师,计算机软件,1-1.8万,广州·天河区,3-4年,本科,广东德生科技股份有限公司,"['hadoop\n五险一金\n交通补贴\n绩效奖金\n定期体检',"
大数据分析-SQL/Python/Hadoop/Spark,会计/审计,8千-1.6万·13薪,上海·浦东新区,3-4年,本科,安永华明会计师事务所（特殊普通合伙）上海分所,"'数据分析\nsql\nhadoop\nspark\n大数据\npython\n五险一金\n专业培训',"
大数据开发工程师,电子技术/半导体/集成电路,9千-1.8万,南京·经济技术开发区,3-4年,本科,南京高华科技股份有限公司,"'免费班车\n五险一金',"
大数据开发工程师,互联网/电子商务,2-3万,上海·浦东新区,3-4年,本科,“前程无忧”51job.com（上海）,"'java\nhadoop\nhive\nspark\n五险一金\n专业培训\n补充医疗保险\n定期体检',"
大数据架构工程师（金融科技部）,金融/投资/证券,2-3万,南京·建邺区,5-7年,硕士,南京证券股份有限公司,"'五险一金\n专业培训\n定期体检\n节日福利\n带薪年假\n绩效奖金\n年终奖金',"
大数据分析-SQL/Python/Hadoop/Spark,会计/审计,8千-1.6万·13薪,大连·中山区,3-4年,本科,安永华明会计师事务所（特殊普通合伙）上海分所,"'sql\n大数据\nhadoop\n数据分析\nspark\npython\n五险一金\n专业培训',"
大数据开发工程师,通信/电信/网络设备,1.5-3万,上海·静安区,5-7年,本科,上海阅维科技股份有限公司,"'大数据\nhadoop\n大数据开发\nspark\n五险一金\n定期体检\n绩效奖金',"
大数据分析师,互联网/电子商务,1.5-2万·13薪,上海·杨浦区,3-4年,本科,上海易班企业发展有限公司,"'数据分析\n数据挖掘\n数据解决方案\n数据决策\n监控数据异常\n五险一金',"
中高级大数据开发工程师,仪器仪表/工业自动化,2-2.8万,深圳·南山区,3-4年,本科,深圳拓安信物联股份有限公司,"'flink\nspark\n大数据开发\n五险一金\n包吃住\n年终奖金',"
大数据开发工程师,专业服务(咨询、人力资源、财会),8千-1.5万,武汉,2年,本科,北天英才（北京）科技有限公司,"'团队氛围好\n发展空间大\n补充医疗保险\n五险一金\n补充公积金\n绩效奖金',"
大数据开发工程师,贸易/进出口,1.5-2万,上海·宝山区,5-7年,本科,上海创新给水设备制造（集团）有限公司,"'五险一金\n补充医疗保险\n交通补贴\n餐饮补贴\n通讯补贴\n专业培训\n出国机会',"
大数据分析工程师,建筑/建材/工程,1.5-2.5万,北京·海淀区,5-7年,本科,中国恩菲工程技术有限公司,"'大数据\n五险一金\n补充医疗保险\n出国机会\n通讯补贴\n餐饮补贴\n交通补贴',"
大数据开发高级工程师,新能源,1.2-1.5万,常州·新北区,3-4年,本科,天合光能股份有限公司,"'年终奖金\n带薪年假\n五险一金\n补充医疗保险\n免费班车\n餐饮补贴\n通讯补贴',"
大数据分析,计算机软件,1.2-1.6万,上海·浦东新区,3-4年,大专,上海春笛信息科技有限公司,"'',"
大数据开发工程师,计算机服务(系统、数据服务、维修),1-1.7万,西安·雁塔区,3-4年,本科,京北方信息技术股份有限公司成都分公司,"'hadoop\nsql\nspark\n五险一金\n餐饮补贴\n绩效奖金\n定期体检',"
大数据研发工程师-福州,计算机软件,1-2万·13薪,福州·鼓楼区,2年,本科,中电福富信息科技有限公司,"'五险一金\n补充医疗保险\n员工旅游\n餐饮补贴\n年终奖金\n定期体检\n绩效奖金',"
大数据开发工程师,计算机软件,1.5-2万,杭州·滨江区,2年,本科,杭州威灿科技有限公司,"'五险一金\n年终奖金\n全勤奖\n补充医疗保险\n专业培训\n定期体检\n员工旅游',"
大数据开发,计算机软件,1.8-2万,上海,5-7年,本科,神州数码信息服务股份有限公司,"'spark\nhadoop\n数据开发\n五险一金\n定期体检',"
大数据工程师,计算机软件,1.2-1.5万,温州·鹿城区,1年,大专,浙江城安大数据有限公司,"'五险一金\n年终奖金\n绩效奖金\n13薪\n餐饮补贴\n交通补贴\n通讯补贴',"
大数据开发工程师,计算机软件,9千-1.8万,广州·天河区,8-9年,本科,源恒税务师事务所有限公司,'解决方案\n数据仓库\n数据收集\n架构设计\n设计模式\n大数据\n关系型数据库']
大数据开发工程师,计算机软件,8千-1万,青岛·李沧区,无需经验,本科,青岛智力云人工智能科技有限公司,"['',"
大数据开发工程师(C),计算机软件,2-2.2万,上海·静安区,3-4年,本科,上海择仕信息科技有限公司,"'大数据\nhadoop\n数据挖掘\njava\n五险一金\n专业培训\n弹性工作\n绩效奖金',"
大数据研发架构师-数据平台,互联网/电子商务,3.5-7万,上海,3-4年,本科,字节跳动,"'六险一金\n五险一金\n免费三餐\n弹性工作',"
大数据开发,计算机软件,4.5-9千,郑州·中原区,无需经验,大专,郑州由申甲网络科技有限公司,"'数据分析\njava\nlinux\nhadoop\n五险一金\n补充医疗保险\n补充公积金',"
大数据开发工程师,计算机软件,2-2.5万,上海,1年,本科,海隆软件（昆山）有限公司,"'五险一金\n补充医疗保险\n定期体检\n员工旅游\n餐饮补贴\n弹性工作\n出国机会',"
大数据开发工程师,服装/纺织/皮革,2-4万·13薪,佛山,3-4年,本科,广东爱依服商贸有限公司,"'年终奖金\n提供食宿\n节日福利\n股票期权',"
大数据算法工程师,计算机软件,2-4万·14薪,南京·雨花台区,1年,硕士,南京红松信息技术有限公司,"'机器学习算法\n五险一金\n年终奖金\n绩效奖金\n餐补\n交通补\n电脑补',"
大数据开发工程师,计算机软件,8千-1.5万,哈尔滨,无需经验,大专,内蒙古钛驰新迪商务有限公司,"'mybatis\ndubbo\njava\n数据库\nspring\nlinux\n微服务\nredis\nweb',"
大数据开发工程师,网络游戏,1.5-2.5万,广州·天河区,3-4年,本科,广州天纵网络科技有限公司,"'hadoop\n数据库\n数据分析\n五险一金\n员工旅游\n交通补贴\n定期体检',"
大数据开发工程师,计算机服务(系统、数据服务、维修),1.8-3.6万·15薪,上海·浦东新区,3-4年,本科,北京聘多多科技有限公司,"'大数据\nhadoop\njava\n大数据开发\nspark\n数据开发\n数据分析\n数据处理',"
大数据架构师,计算机服务(系统、数据服务、维修),3-4万·14薪,成都·武侯区,10年以上,本科,友邦资讯科技（广州）有限公司成都分公司,"'弹性工作\n周末双休\n地铁周边\n五险一金\n定期体检\n年终奖金\n节日福利',"
大数据开发工程师,计算机软件,8千-1.5万,北京·昌平区,1年,大专,内蒙古钛驰新迪商务有限公司,"'mybatis\ndubbo\njava\n数据库\nspring\nlinux\n微服务\nredis\nweb',"
大数据开发,通信/电信运营、增值服务,1.2-2.4万,杭州·余杭区,3-4年,本科,浙江省公众信息产业有限公司,"'五险一金\n交通补贴\n餐饮补贴\n通讯补贴\n定期体检',"
大数据开发工程师,计算机服务(系统、数据服务、维修),1.8-3.6万·15薪,深圳·龙岗区,3-4年,本科,北京聘多多科技有限公司,"'大数据\nhadoop\n大数据开发\njava\nspark\n数据挖掘\n数据分析\n开发',"
大数据架构师,计算机服务(系统、数据服务、维修),3-4万·14薪,成都·武侯区,10年以上,本科,友邦资讯科技（广州）有限公司成都分公司,"'弹性工作\n周末双休\n地铁周边\n五险一金\n定期体检\n年终奖金\n节日福利',"
大数据开发工程师,金融/投资/证券,1-1.5万,成都·锦江区,3-4年,本科,四川省唯品富邦消费金融有限公司,"'hadoop\njava\nFlink\n五险一金\n餐饮补贴\n专业培训\n定期体检\n年终奖金',"
软件开发工程师-大数据方向,计算机软件,6-9千,昆明,1年,本科,云南南天电子信息产业股份有限公司,"'周末双休\n带薪年假\n五险一金\n专业培训\n绩效奖金\n定期体检\n年终奖金',"
大数据开发工程师,专业服务(咨询、人力资源、财会),2.5-3万·13薪,上海·静安区,3-4年,本科,上海赢崧企业管理咨询有限公司,"'建模\n五险一金\n餐饮补贴\n绩效奖金\n交通补贴\n年终奖金\n弹性工作',"
大数据开发（克拉斯特）,计算机软件,1.5-2万,苏州·苏州工业园区,2年,本科,苏州得心应手信息技术有限公司,"'五险一金\n绩效奖金\n年终奖金\n定期体检\n员工旅游',"
大数据开发工程师,电子技术/半导体/集成电路,1.1-1.8万·14薪,佛山,3-4年,本科,广东艾科智泊科技股份有限公司,'大数据\njava\nflink\nclickhouse\n后端语言\nspark\nbi报表系统\nspring']
大数据开发工程师(005996),计算机软件,1.2-1.8万,广州·天河区,3-4年,本科,广州南天电脑系统有限公司,"['linux\nmysql\nhive\nspark\n五险一金\n周末双休\n带薪年假\n员工旅游',"
大数据开发,计算机软件,1.5-2.5万,广州,3-4年,本科,神州数码信息服务股份有限公司,"'sqoop\nhive\n大数据平台\n五险一金\n年终奖金\n定期体检',"
大数据开发负责人,计算机软件,35-45万/年,南京·江宁区,5-7年,硕士,南京市康迪普润网络服务有限公司,"'五险一金\n弹性工作\n绩效奖金\n年终奖金\n专业培训',"
大数据架构师,交通/运输/物流,2.5-3万,天津·津南区,8-9年,本科,北京易华录信息技术股份有限公司,"'五险一金\n餐饮补贴\n通讯补贴\n定期体检\n项目奖金',"
大数据开发工程师-流式计算方向,互联网/电子商务,2.5-4.5万,北京,无需经验,本科,字节跳动,"'下午茶\n健身瑜伽\n六险一金\n五险一金\n股票期权\n团队氛围好\n晋升空间大',"
大数据分析工程师,新能源,1.8-2.5万·14薪,苏州·苏州工业园区,5-7年,本科,江苏阿诗特能源科技股份有限公司,"'java\nlinux\nshell\ndubbo\n大数据平台\n数据采集\n分布式系统\n多线程',"
大数据/算法工程师,计算机软件,2-3.5万,广州,3-4年,硕士,广东精一信息技术有限公司,"'五险一金\n补充医疗保险\n补充公积金\n员工旅游\n交通补贴\n餐饮补贴\n通讯补贴',"
大数据架构师,交通/运输/物流,2.5-3.5万,北京·石景山区,8-9年,本科,北京易华录信息技术股份有限公司,"'五险一金\n项目奖金',"
大数据开发工程师,计算机软件,2-2.5万,上海·浦东新区,5-7年,本科,神州数码信息服务股份有限公司,"'mongodb\nhadoop\nes\n数仓建模\n银行金融\n数据开发\n五险一金',"
大数据算法工程师(TB0001),计算机软件,2-2.5万,上海·浦东新区,2年,本科,万得信息技术股份有限公司（Wind资讯）,"'大数据\n开发',"
大数据开发工程师,计算机软件,8千-1.4万·13薪,西安·高新技术产业开发区,2年,本科,陕西金合信息科技股份有限公司,"'绩效奖金\n五险一金\n补充医疗保险\n定期体检\n年终奖金\n周末双休\n加班补贴',"
大数据架构师,交通/运输/物流,2.5-3万,天津·津南区,8-9年,本科,北京易华录信息技术股份有限公司,"'五险一金\n餐饮补贴\n通讯补贴\n定期体检\n项目奖金',"
大数据引擎资深专家-EMR/大数据云平台,互联网/电子商务,6.5-12.5万,上海,8-9年,本科,字节跳动,"'下午茶\n健身瑜伽\n五险一金\n股票期权\n团队氛围好\n晋升空间大\n带薪休假',"
大数据工程师,通信/电信/网络设备,5-7千,武汉,2年,大专,嘉环科技股份有限公司,"'java\npython\n数据处理\n五险一金\n通讯补贴\n专业培训\n绩效奖金',"
技术开发（大数据）,快速消费品(食品、饮料、化妆品),1.5-2万·13薪,成都,3-4年,本科,华润雪花啤酒,"'带薪年假\n午餐补助\n通讯津贴\n交通补助\n500强\n优秀员工奖\n五险一金',"
大数据开发工程师,计算机软件,1.4-2万,武汉·洪山区,5-7年,本科,武汉储慧信息科技有限公司,"'hadoop\n数据库\n数据分析\nspark\njava\nhive\nsql\npython\n五险一金',"
大数据开发工程师-电商,互联网/电子商务,3-6万,杭州,3-4年,本科,字节跳动,"'下午茶\n健身瑜伽\n六险一金\n股票期权\n团队氛围好\n晋升空间大\n带薪休假',"
大数据研发/分析工程师,计算机软件,1.5-2.5万,成都·高新区,3-4年,本科,招银网络科技（深圳）有限公司成都分公司,"'机器学习\n数据分析\nnlp\nscikit_learn\ncaffe\n知识图谱\naiops\nscipy',"
高级大数据开发工程师,计算机软件,40-70万/年,深圳,5-7年,本科,深圳中泓在线股份有限公司,"'CDH\nspark\nhadoop\n数据中台\n大数据\n大数据开发\n五险一金\n员工旅游',"
大数据开发工程师,计算机软件,1.3-2万,武汉·洪山区,5-7年,本科,武汉储慧信息科技有限公司,'hadoop\n数据库\n数据分析\nspark\njava\nhive\nsql\npython\n五险一金']
大数据开发工程师-电商,互联网/电子商务,3-6万,杭州,3-4年,本科,字节跳动,"['下午茶\n健身瑜伽\n六险一金\n股票期权\n团队氛围好\n晋升空间大\n带薪休假',"
大数据开发,计算机软件,1-1.5万,深圳,3-4年,本科,深圳市长亮科技股份有限公司,"'五险一金\n通讯补贴\n定期体检\n周末双休',"
大数据开发,计算机软件,1.8-2.3万,长沙·岳麓区,3-4年,本科,神州数码信息服务股份有限公司,"'五险一金\n周末双休',"
大数据开发工程师,新能源,1.5-2万·15薪,深圳·宝安区,5-7年,本科,深圳市首航新能源股份有限公司,"'大数据平台\n监控平台\n五险一金\n专业培训\n员工旅游\n年终奖金\n节日礼品',"
大数据开发工程师,计算机服务(系统、数据服务、维修),1.2-1.8万,广州·白云区,5-7年,大专,北京聘多多科技有限公司,"'hadoop\n大数据\nETL\n数据仓库\n数据建模\nsql\npython\n航空\n电商',"
大数据工程师,农/林/牧/渔,1.5-2.2万,上海·浦东新区,3-4年,硕士,上海兰桂骐技术发展股份有限公司,"'hadoop\n数据库\n数据分析\n五险一金\n绩效奖金\n年终奖金',"
大数据工程师,计算机服务(系统、数据服务、维修),1.5-2.5万·13薪,杭州·上城区,5-7年,本科,汇智智能科技有限公司,"'五险一金\n员工旅游\n年终奖金\n绩效奖金\n周末双休\n公司氛围好\n春节超长假期',"
高级大数据开发工程师,计算机软件,1-1.6万,昆明·五华区,3-4年,本科,云南达速科技有限公司,"'大数据\n大数据开发\n开发工程师\n周末双休\n通讯补贴\n餐饮补贴\n交通补贴',"
大数据研发经理/主管,房地产,1.2-2万,武汉·东湖新技术产业开发区,3-4年,本科,武汉东湖高新集团股份有限公司,"'定期体检\n餐饮补贴\n绩效奖金\n年终奖金\n节日福利\n五险一金\n交通补贴',"
大数据开发工程师（22017）,计算机服务(系统、数据服务、维修),8千-1.4万,广州·黄埔区,3-4年,大专,广东新基建控股集团有限公司,"'数据分析\n大数据\nsql\ndatax\n数据模型\netl\n五险一金\n年假\n节日福利',"
大数据工程师,计算机服务(系统、数据服务、维修),1.5-2.5万·13薪,杭州·上城区,5-7年,本科,汇智智能科技有限公司,"'五险一金\n员工旅游\n年终奖金\n绩效奖金\n周末双休\n公司氛围好\n春节超长假期',"
大数据开发工程师,计算机软件,1.2-1.8万,深圳·南山区,2年,大专,深圳市正信软件有限公司,"'',"
总行数据资产管理部-大数据开发工程师岗,银行,,北京,2年,本科,中国光大银行总行,"'',"
大数据开发工程师,计算机软件,1.5-2万,杭州·萧山区,3-4年,本科,杭州绿掌科技有限公司,"'五险一金\n带薪年假\n节日福利\n交通补贴\n加班补贴\n大小休',"
大数据开发实习生,互联网/电子商务,5-7千·13薪,重庆·渝中区,1年,大专,贵州玉珏网络技术服务有限责任公司,"'java\nhadoop\n数据库\n数据分析\nspark\npython\nsql\nhive\n五险一金',"
大数据研发工程师-基础数仓方向,互联网/电子商务,3-8万,北京,无需经验,本科,字节跳动,"'下午茶\n健身瑜伽\n五险一金\n股票期权\n团队氛围好\n晋升空间大\n带薪休假',"
大数据开发工程师,计算机软件,1.5-2.6万,大连·甘井子区,无需经验,本科,米斯特奥福（大连）咨询服务有限公司,"'etl\nspark\n大数据开发\n五险一金\n补充医疗保险\n通讯补贴\n出国机会',"
大数据开发工程师-无锡,计算机软件,10-20万/年,无锡·滨湖区,3-4年,本科,苏州广立信息技术有限公司,"'大数据开发\n数仓架构设计\n模型设计\n五险一金\n通讯补贴\n带薪年假',"
大数据算法工程师,石油/化工/矿产/地质,1-2万,深圳·南山区,2年,本科,清能艾科（深圳）能源技术有限公司,"'机器学习\n深度学习\npython\n算法工程师\n数据挖掘\n预警\nxgboost',"
大数据开发工程师,计算机软件,1.5-2.6万,大连·甘井子区,无需经验,本科,米斯特奥福（大连）咨询服务有限公司,"['etl\nspark\n大数据开发\n五险一金\n补充医疗保险\n通讯补贴\n出国机会',"
大数据及数据科学工程师(001103),多元化业务集团公司,7千-1.2万,沈阳·浑南区,3-4年,本科,东软教育科技集团有限公司,"'五险一金\n补充医疗保险\n专业培训\n年终奖金\n定期体检\n周末双休\n节日福利',"
大数据算法工程师,石油/化工/矿产/地质,1-1.5万,成都·成华区,2年,本科,清能艾科（深圳）能源技术有限公司,"'机器学习\n深度学习\npython\n算法工程师\n数据挖掘\n预警\nxgboost',"
